Thread	Address	Instruction	Result
00001846	.text:sum	Memory layout changed: 43 segments	Memory layout changed: 43 segments
00001846			ST0=FFFFFFFFFFFFFFFF ST1=FFFFFFFFFFFFFFFF ST2=FFFFFFFFFFFFFFFF ST3=FFFFFFFFFFFFFFFF ST4=FFFFFFFFFFFFFFFF ST5=FFFFFFFFFFFFFFFF ST6=FFFFFFFFFFFFFFFF ST7=FFFFFFFFFFFFFFFF CTRL=FFFF CS=0033 DS=0000 ES=0000 FS=0000 GS=0000 SS=002B RAX=0000000000000006 RBX=0000562BFD1BA050 RCX=0000562BFD1BA050 RDX=0000000000000009 RSI=0000000000000009 RDI=0000000000000006 RBP=00007FFCDCB0E180 RSP=00007FFCDCB0E138 R8=0000000000000000 R9=00007FA8D572CD50 R10=0000000000000003 R11=0000000000000000 R12=0000562BFD1B9650 R13=00007FFCDCB0E270 R14=0000000000000000 R15=0000000000000000 EFL=00000202 XMM0= XMM1= XMM2= XMM3= XMM4= XMM5= XMM6= XMM7= XMM8= XMM9= XMM10= XMM11= XMM12= XMM13= XMM14= XMM15= MXCSR=FFFFFFFF MM0= MM1= MM2= MM3= 
00001846	.text:sum	push    rbp	RSP=00007FFCDCB0E130 
00001846	.text:sum+1	mov     rbp, rsp	RBP=00007FFCDCB0E130 
00001846	.text:sum+4	push    r12	RSP=00007FFCDCB0E128 
00001846	.text:sum+6	push    rbx	RSP=00007FFCDCB0E120 
00001846	.text:sum+7	sub     rsp, 270h	RSP=00007FFCDCB0DEB0 
00001846	.text:sum+E	mov     [rbp+var_274], edi	
00001846	.text:sum+14	mov     [rbp+var_278], esi	
00001846	.text:sum+1A	mov     rax, fs:28h	RAX=81C2DD635BEC7300 
00001846	.text:sum+23	mov     [rbp+var_18], rax	
00001846	.text:sum+27	xor     eax, eax	RAX=0000000000000000 PF=1 ZF=1 
00001846	.text:sum+29	mov     ebx, 0	RBX=0000000000000000 
00001846	.text:sum+2E	lea     rax, [rbp+var_250]	RAX=00007FFCDCB0DEE0 
00001846	.text:sum+35	movsxd  rdx, ebx	RDX=0000000000000000 
00001846	.text:sum+38	shl     rdx, 8	
00001846	.text:sum+3C	add     rdx, rax	RDX=00007FFCDCB0DEE0 PF=0 ZF=0 
00001846	.text:sum+3F	movsxd  rax, ebx	RAX=0000000000000000 
00001846	.text:sum+42	mov     [rbp+rax*8+var_270], rdx	
00001846	.text:sum+4A	mov     ebx, 1	RBX=0000000000000001 
00001846	.text:sum+4F	lea     rax, [rbp+var_250]	RAX=00007FFCDCB0DEE0 
00001846	.text:sum+56	movsxd  rdx, ebx	RDX=0000000000000001 
00001846	.text:sum+59	shl     rdx, 8	RDX=0000000000000100 PF=1 
00001846	.text:sum+5D	add     rdx, rax	RDX=00007FFCDCB0DFE0 PF=0 
00001846	.text:sum+60	movsxd  rax, ebx	RAX=0000000000000001 
00001846	.text:sum+63	mov     [rbp+rax*8+var_270], rdx	
00001846	.text:sum+6B	mov     ebx, 0	RBX=0000000000000000 
00001846	.text:sum+70	movsxd  rdx, ebx	RDX=0000000000000000 
00001846	.text:sum+73	mov     rax, rdx	RAX=0000000000000000 
00001846	.text:sum+76	shl     rax, 4	PF=1 ZF=1 
00001846	.text:sum+7A	sub     rax, rdx	
00001846	.text:sum+7D	shl     rax, 3	
00001846	.text:sum+81	add     rax, rdx	
00001846	.text:sum+84	lea     rdx, _1_sum_$array	RDX=0000562BFD3BB020 
00001846	.text:sum+8B	add     rdx, rax	PF=0 ZF=0 
00001846	.text:sum+8E	movsxd  rax, ebx	
00001846	.text:sum+91	mov     [rbp+rax*8+var_260], rdx	
00001846	.text:sum+99	mov     ebx, 1	RBX=0000000000000001 
00001846	.text:sum+9E	movsxd  rdx, ebx	RDX=0000000000000001 
00001846	.text:sum+A1	mov     rax, rdx	RAX=0000000000000001 
00001846	.text:sum+A4	shl     rax, 4	RAX=0000000000000010 
00001846	.text:sum+A8	sub     rax, rdx	RAX=000000000000000F PF=1 AF=1 
00001846	.text:sum+AB	shl     rax, 3	RAX=0000000000000078 AF=0 
00001846	.text:sum+AF	add     rax, rdx	RAX=0000000000000079 PF=0 
00001846	.text:sum+B2	lea     rdx, _1_sum_$array	RDX=0000562BFD3BB020 
00001846	.text:sum+B9	add     rdx, rax	RDX=0000562BFD3BB099 PF=1 
00001846	.text:sum+BC	movsxd  rax, ebx	RAX=0000000000000001 
00001846	.text:sum+BF	mov     [rbp+rax*8+var_260], rdx	
00001846	.text:sum+C7	mov     ebx, 0	RBX=0000000000000000 
00001846	.text:sum:loc_562BFD1B98B5	movsxd  rax, ebx	RAX=0000000000000000 
00001846	.text:sum+CF	mov     rax, [rbp+rax*8+var_260]	RAX=0000562BFD3BB020 
00001846	.text:sum+D7	movzx   eax, byte ptr [rax]	RAX=0000000000000080 
00001846	.text:sum+DA	movzx   eax, al	
00001846	.text:sum+DD	cmp     eax, 71h ; 'q'	AF=1 
00001846	.text:sum+E0	jz      loc_562BFD1B9CE8	
00001846	.text:sum+E6	cmp     eax, 71h ; 'q'	
00001846	.text:sum+E9	jg      short loc_562BFD1B9922	
00001846	.text:sum:loc_562BFD1B9922	cmp     eax, 0C6h	CF=1 PF=0 SF=1 
00001846	.text:sum+13E	jz      loc_562BFD1B9DB1	
00001846	.text:sum+144	cmp     eax, 0C6h	
00001846	.text:sum+149	jg      short loc_562BFD1B995A	
00001846	.text:sum+14B	cmp     eax, 82h	
00001846	.text:sum+150	jz      loc_562BFD1B9DF8	
00001846	.text:sum+156	cmp     eax, 88h	
00001846	.text:sum+15B	jz      loc_562BFD1B9B90	
00001846	.text:sum+161	cmp     eax, 80h	CF=0 PF=1 AF=0 ZF=1 SF=0 
00001846	.text:sum+166	jz      loc_562BFD1B9FAB	
00001846	.text:sum:loc_562BFD1B9FAB	movsxd  rax, ebx	RAX=0000000000000000 
00001846	.text:sum+7C5	mov     rax, [rbp+rax*8+var_260]	RAX=0000562BFD3BB020 
00001846	.text:sum+7CD	lea     rdx, [rax+1]	RDX=0000562BFD3BB021 
00001846	.text:sum+7D1	movsxd  rax, ebx	RAX=0000000000000000 
00001846	.text:sum+7D4	mov     [rbp+rax*8+var_260], rdx	
00001846	.text:sum+7DC	movsxd  rax, ebx	
00001846	.text:sum+7DF	mov     rax, [rbp+rax*8+var_260]	RAX=0000562BFD3BB021 
00001846	.text:sum+7E7	mov     eax, [rax]	RAX=0000000000000008 
00001846	.text:sum+7E9	movsxd  rdx, eax	RDX=0000000000000008 
00001846	.text:sum+7EC	movsxd  rax, ebx	RAX=0000000000000000 
00001846	.text:sum+7EF	mov     rax, [rbp+rax*8+var_270]	RAX=00007FFCDCB0DEE0 
00001846	.text:sum+7F7	add     rax, 8	RAX=00007FFCDCB0DEE8 ZF=0 
00001846	.text:sum+7FB	lea     rcx, [rbp+var_50]	RCX=00007FFCDCB0E0E0 
00001846	.text:sum+7FF	add     rdx, rcx	RDX=00007FFCDCB0E0E8 
00001846	.text:sum+802	mov     [rax], rdx	
00001846	.text:sum+805	movsxd  rax, ebx	RAX=0000000000000000 
00001846	.text:sum+808	mov     rax, [rbp+rax*8+var_270]	RAX=00007FFCDCB0DEE0 
00001846	.text:sum+810	lea     rdx, [rax+8]	RDX=00007FFCDCB0DEE8 
00001846	.text:sum+814	movsxd  rax, ebx	RAX=0000000000000000 
00001846	.text:sum+817	mov     [rbp+rax*8+var_270], rdx	
00001846	.text:sum+81F	movsxd  rax, ebx	
00001846	.text:sum+822	mov     rax, [rbp+rax*8+var_260]	RAX=0000562BFD3BB021 
00001846	.text:sum+82A	lea     rdx, [rax+4]	RDX=0000562BFD3BB025 
00001846	.text:sum+82E	movsxd  rax, ebx	RAX=0000000000000000 
00001846	.text:sum+831	mov     [rbp+rax*8+var_260], rdx	
00001846	.text:sum+839	nop	
00001846	.text:sum:loc_562BFD1BA023	lea     eax, [rbx+1]	RAX=0000000000000001 
00001846	.text:sum+83D	cmp     eax, 1	ZF=1 
