Thread	Address	Instruction	Result
00001885	.text:sum	Memory layout changed: 43 segments	Memory layout changed: 43 segments
00001885			ST0=FFFFFFFFFFFFFFFF ST1=FFFFFFFFFFFFFFFF ST2=FFFFFFFFFFFFFFFF ST3=FFFFFFFFFFFFFFFF ST4=FFFFFFFFFFFFFFFF ST5=FFFFFFFFFFFFFFFF ST6=FFFFFFFFFFFFFFFF ST7=FFFFFFFFFFFFFFFF CTRL=FFFF CS=0033 DS=0000 ES=0000 FS=0000 GS=0000 SS=002B RAX=0000000000000006 RBX=0000557F120B5A50 RCX=0000557F120B5A50 RDX=0000000000000009 RSI=0000000000000009 RDI=0000000000000006 RBP=00007FFC17495320 RSP=00007FFC174952D8 R8=0000000000000000 R9=00007F3671475D50 R10=0000000000000003 R11=0000000000000000 R12=0000557F120B55C0 R13=00007FFC17495410 R14=0000000000000000 R15=0000000000000000 EFL=00000202 XMM0= XMM1= XMM2= XMM3= XMM4= XMM5= XMM6= XMM7= XMM8= XMM9= XMM10= XMM11= XMM12= XMM13= XMM14= XMM15= MXCSR=FFFFFFFF MM0= MM1= MM2= MM3= 
00001885	.text:sum	push    rbp	RSP=00007FFC174952D0 
00001885	.text:sum+1	mov     rbp, rsp	RBP=00007FFC174952D0 
00001885	.text:sum+4	sub     rsp, 150h	RSP=00007FFC17495180 
00001885	.text:sum+B	mov     [rbp+var_144], edi	
00001885	.text:sum+11	mov     [rbp+var_148], esi	
00001885	.text:sum+17	mov     rax, fs:28h	RAX=A6CF38B350082F00 
00001885	.text:sum+20	mov     [rbp+var_8], rax	
00001885	.text:sum+24	xor     eax, eax	RAX=0000000000000000 PF=1 ZF=1 
00001885	.text:sum+26	mov     [rbp+var_138], 1	
00001885	.text:sum+30	lea     rax, [rbp+var_120]	RAX=00007FFC174951B0 
00001885	.text:sum+37	mov     [rbp+var_130], rax	
00001885	.text:sum+3E	lea     rax, _1_sum_$array	RAX=0000557F122B6010 
00001885	.text:sum+45	mov     [rbp+var_128], rax	
00001885	.text:sum:loc_557F120B579E	mov     [rbp+var_134], 0	
00001885	.text:sum+56	jmp     short loc_557F120B57BB	
00001885	.text:sum:loc_557F120B57BB	cmp     [rbp+var_134], 1	CF=1 AF=1 ZF=0 SF=1 
00001885	.text:sum+70	jle     short loc_557F120B57AA	
00001885	.text:sum:loc_557F120B57AA	mov     [rbp+var_138], 1	
00001885	.text:sum+62	add     [rbp+var_134], 1	CF=0 PF=0 AF=0 SF=0 
00001885	.text:sum:loc_557F120B57BB	cmp     [rbp+var_134], 1	PF=1 ZF=1 
00001885	.text:sum+70	jle     short loc_557F120B57AA	
00001885	.text:sum:loc_557F120B57AA	mov     [rbp+var_138], 1	
00001885	.text:sum+62	add     [rbp+var_134], 1	PF=0 ZF=0 
00001885	.text:sum:loc_557F120B57BB	cmp     [rbp+var_134], 1	
00001885	.text:sum+70	jle     short loc_557F120B57AA	
00001885	.text:sum+72	mov     rax, [rbp+var_128]	
00001885	.text:sum+79	movzx   eax, byte ptr [rax]	RAX=0000000000000003 
00001885	.text:sum+7C	movzx   eax, al	
00001885	.text:sum+7F	cmp     eax, 5Bh ; '['	CF=1 AF=1 SF=1 
00001885	.text:sum+82	jz      short loc_557F120B5819	
00001885	.text:sum+84	cmp     eax, 5Bh ; '['	
00001885	.text:sum+87	jg      short loc_557F120B57FB	
00001885	.text:sum+89	cmp     eax, 3	CF=0 PF=1 AF=0 ZF=1 SF=0 
00001885	.text:sum+8C	jz      loc_557F120B5987	
00001885	.text:sum:loc_557F120B5987	mov     rdx, [rbp+var_128]	RDX=0000557F122B6010 
00001885	.text:sum+23C	mov     eax, [rbp+var_138]	RAX=0000000000000001 
00001885	.text:sum+242	cdqe	
00001885	.text:sum+244	add     rax, rdx	RAX=0000557F122B6011 ZF=0 
00001885	.text:sum+247	mov     [rbp+var_128], rax	
00001885	.text:sum+24E	mov     rax, [rbp+var_128]	
00001885	.text:sum+255	mov     eax, [rax]	RAX=0000000000000001 
00001885	.text:sum+257	test    eax, eax	PF=0 
00001885	.text:sum+259	jz      short loc_557F120B59C9	
00001885	.text:sum+25B	cmp     eax, 1	PF=1 ZF=1 
00001885	.text:sum+25E	jnz     short loc_557F120B59DF	
00001885	.text:sum+260	mov     rax, [rbp+var_130]	RAX=00007FFC174951B0 
00001885	.text:sum+267	lea     rdx, [rax+8]	RDX=00007FFC174951B8 
00001885	.text:sum+26B	lea     rax, [rbp+var_148]	RAX=00007FFC17495188 
00001885	.text:sum+272	mov     [rdx], rax	
00001885	.text:sum+275	jmp     short loc_557F120B59DF	
00001885	.text:sum:loc_557F120B59DF	mov     rax, [rbp+var_130]	RAX=00007FFC174951B0 
00001885	.text:sum+294	add     rax, 8	RAX=00007FFC174951B8 ZF=0 
00001885	.text:sum+298	mov     [rbp+var_130], rax	
00001885	.text:sum+29F	mov     rax, [rbp+var_128]	RAX=0000557F122B6011 
00001885	.text:sum+2A6	add     rax, 4	RAX=0000557F122B6015 PF=0 
00001885	.text:sum+2AA	mov     [rbp+var_128], rax	
00001885	.text:sum+2B1	jmp     short loc_557F120B5A38	
00001885	.text:sum:loc_557F120B5A38	jmp     loc_557F120B579E	
00001885	.text:sum:loc_557F120B579E	mov     [rbp+var_134], 0	
00001885	.text:sum+56	jmp     short loc_557F120B57BB	
00001885	.text:sum:loc_557F120B57BB	cmp     [rbp+var_134], 1	CF=1 PF=1 AF=1 SF=1 
00001885	.text:sum+70	jle     short loc_557F120B57AA	
00001885	.text:sum:loc_557F120B57AA	mov     [rbp+var_138], 1	
00001885	.text:sum+62	add     [rbp+var_134], 1	CF=0 PF=0 AF=0 SF=0 
00001885	.text:sum:loc_557F120B57BB	cmp     [rbp+var_134], 1	PF=1 ZF=1 
00001885	.text:sum+70	jle     short loc_557F120B57AA	
00001885	.text:sum:loc_557F120B57AA	mov     [rbp+var_138], 1	
00001885	.text:sum+62	add     [rbp+var_134], 1	PF=0 ZF=0 
00001885	.text:sum:loc_557F120B57BB	cmp     [rbp+var_134], 1	
00001885	.text:sum+70	jle     short loc_557F120B57AA	
00001885	.text:sum+72	mov     rax, [rbp+var_128]	
