Thread	Address	Instruction	Result
0000141F	.text:sum	Memory layout changed: 44 segments	Memory layout changed: 44 segments
0000141F			ST0=FFFFFFFFFFFFFFFF ST1=FFFFFFFFFFFFFFFF ST2=FFFFFFFFFFFFFFFF ST3=FFFFFFFFFFFFFFFF ST4=FFFFFFFFFFFFFFFF ST5=FFFFFFFFFFFFFFFF ST6=FFFFFFFFFFFFFFFF ST7=FFFFFFFFFFFFFFFF CTRL=FFFF CS=0033 DS=0000 ES=0000 FS=0000 GS=0000 SS=002B RAX=0000000000000006 RBX=0000558DBD538BC0 RCX=0000558DBD538BC0 RDX=0000000000000009 RSI=0000000000000009 RDI=0000000000000006 RBP=00007FFCD90485C0 RSP=00007FFCD9048578 R8=0000000000000000 R9=00007F7B06D0CD50 R10=0000000000000003 R11=0000000000000000 R12=0000558DBD5385A0 R13=00007FFCD90486B0 R14=0000000000000000 R15=0000000000000000 EFL=00000202 XMM0= XMM1= XMM2= XMM3= XMM4= XMM5= XMM6= XMM7= XMM8= XMM9= XMM10= XMM11= XMM12= XMM13= XMM14= XMM15= MXCSR=FFFFFFFF MM0= MM1= MM2= MM3= 
0000141F	.text:sum	push    rbp	RSP=00007FFCD9048570 
0000141F	.text:sum+1	mov     rbp, rsp	RBP=00007FFCD9048570 
0000141F	.text:sum+4	sub     rsp, 160h	RSP=00007FFCD9048410 
0000141F	.text:sum+B	mov     [rbp+var_154], edi	
0000141F	.text:sum+11	mov     [rbp+var_158], esi	
0000141F	.text:sum+17	mov     rax, fs:28h	RAX=118FEE880F136300 
0000141F	.text:sum+20	mov     [rbp+var_8], rax	
0000141F	.text:sum+24	xor     eax, eax	RAX=0000000000000000 PF=1 ZF=1 
0000141F	.text:sum+26	lea     rax, [rbp+var_120]	RAX=00007FFCD9048450 
0000141F	.text:sum+2D	mov     [rbp+var_130], rax	
0000141F	.text:sum+34	lea     rax, _1_sum_$array	RAX=0000558DBD73A060 
0000141F	.text:sum+3B	mov     [rbp+var_128], rax	
0000141F	.text:sum:loc_558DBD538893	mov     rax, [rbp+var_128]	
0000141F	.text:sum+49	mov     rax, [rax]	RAX=0000558DBD538917 
0000141F	.text:sum+4C	lea     r9, [rbp+var_138]	R9=00007FFCD9048438 
0000141F	.text:sum+53	lea     r10, [rbp+var_130]	R10=00007FFCD9048440 
0000141F	.text:sum+5A	lea     rcx, [rbp+var_120]	RCX=00007FFCD9048450 
0000141F	.text:sum+61	lea     rdx, [rbp+var_14]	RDX=00007FFCD904855C 
0000141F	.text:sum+65	lea     rsi, [rbp+var_158]	RSI=00007FFCD9048418 
0000141F	.text:sum+6C	lea     rdi, [rbp+var_154]	RDI=00007FFCD904841C 
0000141F	.text:sum+73	sub     rsp, 8	RSP=00007FFCD9048408 PF=0 AF=1 ZF=0 
0000141F	.text:sum+77	lea     r8, [rbp+var_140]	R8=00007FFCD9048430 
0000141F	.text:sum+7E	push    r8	RSP=00007FFCD9048400 
0000141F	.text:sum+80	lea     r8, [rbp+var_144]	R8=00007FFCD904842C 
0000141F	.text:sum+87	push    r8	RSP=00007FFCD90483F8 
0000141F	.text:sum+89	lea     r8, [rbp+var_128]	R8=00007FFCD9048448 
0000141F	.text:sum+90	push    r8	RSP=00007FFCD90483F0 
0000141F	.text:sum+92	mov     r8, r10	R8=00007FFCD9048440 
0000141F	.text:sum+95	call    rax	RSP=00007FFCD90483E8 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0	push    rbp	RSP=00007FFCD90483E0 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+1	mov     rbp, rsp	RBP=00007FFCD90483E0 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+4	mov     [rbp+var_8], rdi	
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+8	mov     [rbp+var_10], rsi	
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+C	mov     [rbp+var_18], rdx	
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+10	mov     [rbp+var_20], rcx	
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+14	mov     [rbp+var_28], r8	
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+18	mov     [rbp+var_30], r9	
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+1C	mov     rax, [rbp+arg_0]	RAX=00007FFCD9048448 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+20	mov     rax, [rax]	RAX=0000558DBD73A060 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+23	lea     rdx, [rax+8]	RDX=0000558DBD73A068 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+27	mov     rax, [rbp+arg_0]	RAX=00007FFCD9048448 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+2B	mov     [rax], rdx	
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+2E	mov     rax, [rbp+arg_0]	
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+32	mov     rax, [rax]	RAX=0000558DBD73A068 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+35	mov     eax, [rax]	RAX=0000000000000001 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+37	test    eax, eax	AF=0 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+39	jz      short loc_558DBD53896B	
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+3B	cmp     eax, 1	PF=1 ZF=1 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+3E	jnz     short loc_558DBD53897E	
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+40	mov     rax, [rbp+var_28]	RAX=00007FFCD9048440 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+44	mov     rax, [rax]	RAX=00007FFCD9048450 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+47	lea     rdx, [rax+8]	RDX=00007FFCD9048458 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+4B	mov     rax, [rbp+var_10]	RAX=00007FFCD9048418 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+4F	mov     [rdx], rax	
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+52	jmp     short loc_558DBD53897E	
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0:loc_558DBD53897E	mov     rax, [rbp+var_28]	RAX=00007FFCD9048440 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+6B	mov     rax, [rax]	RAX=00007FFCD9048450 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+6E	lea     rdx, [rax+8]	
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+72	mov     rax, [rbp+var_28]	RAX=00007FFCD9048440 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+76	mov     [rax], rdx	
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+79	mov     rax, [rbp+arg_0]	RAX=00007FFCD9048448 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+7D	mov     rax, [rax]	RAX=0000558DBD73A068 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+80	lea     rdx, [rax+8]	RDX=0000558DBD73A070 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+84	mov     rax, [rbp+arg_0]	RAX=00007FFCD9048448 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+88	mov     [rax], rdx	
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+8B	mov     eax, 0	RAX=0000000000000000 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+90	pop     rbp	RBP=00007FFCD9048570 RSP=00007FFCD90483E8 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+91	retn	RSP=00007FFCD90483F0 
0000141F	.text:sum+97	add     rsp, 20h	RSP=00007FFCD9048410 PF=0 ZF=0 
0000141F	.text:sum+9B	mov     [rbp+var_13C], eax	
0000141F	.text:sum+A1	cmp     [rbp+var_13C], 1	CF=1 PF=1 AF=1 SF=1 
0000141F	.text:sum+A8	jnz     short loc_558DBD538893	
0000141F	.text:sum:loc_558DBD538893	mov     rax, [rbp+var_128]	RAX=0000558DBD73A070 
0000141F	.text:sum+49	mov     rax, [rax]	RAX=0000558DBD538A09 
0000141F	.text:sum+4C	lea     r9, [rbp+var_138]	
0000141F	.text:sum+53	lea     r10, [rbp+var_130]	
0000141F	.text:sum+5A	lea     rcx, [rbp+var_120]	
0000141F	.text:sum+61	lea     rdx, [rbp+var_14]	RDX=00007FFCD904855C 
0000141F	.text:sum+65	lea     rsi, [rbp+var_158]	
0000141F	.text:sum+6C	lea     rdi, [rbp+var_154]	
0000141F	.text:sum+73	sub     rsp, 8	RSP=00007FFCD9048408 CF=0 PF=0 SF=0 
0000141F	.text:sum+77	lea     r8, [rbp+var_140]	R8=00007FFCD9048430 
0000141F	.text:sum+7E	push    r8	RSP=00007FFCD9048400 
0000141F	.text:sum+80	lea     r8, [rbp+var_144]	R8=00007FFCD904842C 
0000141F	.text:sum+87	push    r8	RSP=00007FFCD90483F8 
0000141F	.text:sum+89	lea     r8, [rbp+var_128]	R8=00007FFCD9048448 
0000141F	.text:sum+90	push    r8	RSP=00007FFCD90483F0 
0000141F	.text:sum+92	mov     r8, r10	R8=00007FFCD9048440 
0000141F	.text:sum+95	call    rax	RSP=00007FFCD90483E8 
0000141F	.text:_1_sum__load_int$left_STA_0$result_STA_0	push    rbp	RSP=00007FFCD90483E0 
0000141F	.text:_1_sum__load_int$left_STA_0$result_STA_0+1	mov     rbp, rsp	RBP=00007FFCD90483E0 
0000141F	.text:_1_sum__load_int$left_STA_0$result_STA_0+4	mov     [rbp+var_8], rdi	
0000141F	.text:_1_sum__load_int$left_STA_0$result_STA_0+8	mov     [rbp+var_10], rsi	
0000141F	.text:_1_sum__load_int$left_STA_0$result_STA_0+C	mov     [rbp+var_18], rdx	
0000141F	.text:_1_sum__load_int$left_STA_0$result_STA_0+10	mov     [rbp+var_20], rcx	
0000141F	.text:_1_sum__load_int$left_STA_0$result_STA_0+14	mov     [rbp+var_28], r8	
0000141F	.text:_1_sum__load_int$left_STA_0$result_STA_0+18	mov     [rbp+var_30], r9	
0000141F	.text:_1_sum__load_int$left_STA_0$result_STA_0+1C	mov     rax, [rbp+arg_0]	RAX=00007FFCD9048448 
0000141F	.text:_1_sum__load_int$left_STA_0$result_STA_0+20	mov     rax, [rax]	RAX=0000558DBD73A070 
0000141F	.text:_1_sum__load_int$left_STA_0$result_STA_0+23	lea     rdx, [rax+8]	RDX=0000558DBD73A078 
0000141F	.text:_1_sum__load_int$left_STA_0$result_STA_0+27	mov     rax, [rbp+arg_0]	RAX=00007FFCD9048448 
0000141F	.text:_1_sum__load_int$left_STA_0$result_STA_0+2B	mov     [rax], rdx	
0000141F	.text:_1_sum__load_int$left_STA_0$result_STA_0+2E	mov     rax, [rbp+var_28]	RAX=00007FFCD9048440 
0000141F	.text:_1_sum__load_int$left_STA_0$result_STA_0+32	mov     rax, [rax]	RAX=00007FFCD9048458 
0000141F	.text:_1_sum__load_int$left_STA_0$result_STA_0+35	mov     rdx, [rax]	RDX=00007FFCD9048418 
0000141F	.text:_1_sum__load_int$left_STA_0$result_STA_0+38	mov     rax, [rbp+var_28]	RAX=00007FFCD9048440 
0000141F	.text:_1_sum__load_int$left_STA_0$result_STA_0+3C	mov     rax, [rax]	RAX=00007FFCD9048458 
0000141F	.text:_1_sum__load_int$left_STA_0$result_STA_0+3F	mov     edx, [rdx]	RDX=0000000000000009 
0000141F	.text:_1_sum__load_int$left_STA_0$result_STA_0+41	mov     [rax], edx	
0000141F	.text:_1_sum__load_int$left_STA_0$result_STA_0+43	mov     eax, 0	RAX=0000000000000000 
0000141F	.text:_1_sum__load_int$left_STA_0$result_STA_0+48	pop     rbp	RBP=00007FFCD9048570 RSP=00007FFCD90483E8 
0000141F	.text:_1_sum__load_int$left_STA_0$result_STA_0+49	retn	RSP=00007FFCD90483F0 
0000141F	.text:sum+97	add     rsp, 20h	RSP=00007FFCD9048410 AF=0 
0000141F	.text:sum+9B	mov     [rbp+var_13C], eax	
0000141F	.text:sum+A1	cmp     [rbp+var_13C], 1	CF=1 PF=1 AF=1 SF=1 
0000141F	.text:sum+A8	jnz     short loc_558DBD538893	
0000141F	.text:sum:loc_558DBD538893	mov     rax, [rbp+var_128]	RAX=0000558DBD73A078 
0000141F	.text:sum+49	mov     rax, [rax]	RAX=0000558DBD538917 
0000141F	.text:sum+4C	lea     r9, [rbp+var_138]	
0000141F	.text:sum+53	lea     r10, [rbp+var_130]	
0000141F	.text:sum+5A	lea     rcx, [rbp+var_120]	
0000141F	.text:sum+61	lea     rdx, [rbp+var_14]	RDX=00007FFCD904855C 
0000141F	.text:sum+65	lea     rsi, [rbp+var_158]	
0000141F	.text:sum+6C	lea     rdi, [rbp+var_154]	
0000141F	.text:sum+73	sub     rsp, 8	RSP=00007FFCD9048408 CF=0 PF=0 SF=0 
0000141F	.text:sum+77	lea     r8, [rbp+var_140]	R8=00007FFCD9048430 
0000141F	.text:sum+7E	push    r8	RSP=00007FFCD9048400 
0000141F	.text:sum+80	lea     r8, [rbp+var_144]	R8=00007FFCD904842C 
0000141F	.text:sum+87	push    r8	RSP=00007FFCD90483F8 
0000141F	.text:sum+89	lea     r8, [rbp+var_128]	R8=00007FFCD9048448 
0000141F	.text:sum+90	push    r8	RSP=00007FFCD90483F0 
0000141F	.text:sum+92	mov     r8, r10	R8=00007FFCD9048440 
0000141F	.text:sum+95	call    rax	RSP=00007FFCD90483E8 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0	push    rbp	RSP=00007FFCD90483E0 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+1	mov     rbp, rsp	RBP=00007FFCD90483E0 
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+4	mov     [rbp+var_8], rdi	
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+8	mov     [rbp+var_10], rsi	
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+C	mov     [rbp+var_18], rdx	
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+10	mov     [rbp+var_20], rcx	
0000141F	.text:_1_sum__formal$result_STA_0$value_LIT_0+14	mov     [rbp+var_28], r8	
