Thread	Address	Instruction	Result
0000134A	.text:sum	Memory layout changed: 43 segments	Memory layout changed: 43 segments
0000134A			ST0=FFFFFFFFFFFFFFFF ST1=FFFFFFFFFFFFFFFF ST2=FFFFFFFFFFFFFFFF ST3=FFFFFFFFFFFFFFFF ST4=FFFFFFFFFFFFFFFF ST5=FFFFFFFFFFFFFFFF ST6=FFFFFFFFFFFFFFFF ST7=FFFFFFFFFFFFFFFF CTRL=FFFF CS=0033 DS=0000 ES=0000 FS=0000 GS=0000 SS=002B RAX=0000000000000006 RBX=000055A94535FAC0 RCX=000055A94535FAC0 RDX=0000000000000009 RSI=0000000000000009 RDI=0000000000000006 RBP=00007FFF063C6B70 RSP=00007FFF063C6B28 R8=0000000000000000 R9=00007F1C344AED50 R10=0000000000000003 R11=0000000000000000 R12=000055A94535F5C0 R13=00007FFF063C6C60 R14=0000000000000000 R15=0000000000000000 EFL=00000206 XMM0= XMM1= XMM2= XMM3= XMM4= XMM5= XMM6= XMM7= XMM8= XMM9= XMM10= XMM11= XMM12= XMM13= XMM14= XMM15= MXCSR=FFFFFFFF MM0= MM1= MM2= MM3= 
0000134A	.text:sum	push    rbp	RSP=00007FFF063C6B20 
0000134A	.text:sum+1	mov     rbp, rsp	RBP=00007FFF063C6B20 
0000134A	.text:sum+4	sub     rsp, 1C0h	RSP=00007FFF063C6960 
0000134A	.text:sum+B	mov     [rbp+var_1B4], edi	
0000134A	.text:sum+11	mov     [rbp+var_1B8], esi	
0000134A	.text:sum+17	mov     rax, fs:28h	RAX=01229841EC19BC00 
0000134A	.text:sum+20	mov     [rbp+var_8], rax	
0000134A	.text:sum+24	xor     eax, eax	RAX=0000000000000000 ZF=1 
0000134A	.text:sum+26	lea     rax, sub_55A94535F867	RAX=000055A94535F867 
0000134A	.text:sum+2D	mov     [rbp+var_1A0], rax	
0000134A	.text:sum+34	mov     [rbp+var_198], 1	
0000134A	.text:sum+3F	lea     rax, sub_55A94535F984	RAX=000055A94535F984 
0000134A	.text:sum+46	mov     [rbp+var_190], rax	
0000134A	.text:sum+4D	lea     rax, sub_55A94535F867	RAX=000055A94535F867 
0000134A	.text:sum+54	mov     [rbp+var_188], rax	
0000134A	.text:sum+5B	mov     [rbp+var_180], 0	
0000134A	.text:sum+66	lea     rax, sub_55A94535F984	RAX=000055A94535F984 
0000134A	.text:sum+6D	mov     [rbp+var_178], rax	
0000134A	.text:sum+74	lea     rax, sub_55A94535F8EB	RAX=000055A94535F8EB 
0000134A	.text:sum+7B	mov     [rbp+var_170], rax	
0000134A	.text:sum+82	lea     rax, loc_55A94535F9BA	RAX=000055A94535F9BA 
