Thread	Address	Instruction	Result
00001DC9	.text:sum	Memory layout changed: 43 segments	Memory layout changed: 43 segments
00001DC9			ST0=FFFFFFFFFFFFFFFF ST1=FFFFFFFFFFFFFFFF ST2=FFFFFFFFFFFFFFFF ST3=FFFFFFFFFFFFFFFF ST4=FFFFFFFFFFFFFFFF ST5=FFFFFFFFFFFFFFFF ST6=FFFFFFFFFFFFFFFF ST7=FFFFFFFFFFFFFFFF CTRL=FFFF CS=0033 DS=0000 ES=0000 FS=0000 GS=0000 SS=002B RAX=0000000000000006 RBX=00005624F5612060 RCX=00005624F5612060 RDX=0000000000000009 RSI=0000000000000009 RDI=0000000000000006 RBP=00007FFEB943A2D0 RSP=00007FFEB943A288 R8=0000000000000000 R9=00007FE4914F0D50 R10=0000000000000003 R11=0000000000000000 R12=00005624F5611650 R13=00007FFEB943A3C0 R14=0000000000000000 R15=0000000000000000 EFL=00000206 XMM0= XMM1= XMM2= XMM3= XMM4= XMM5= XMM6= XMM7= XMM8= XMM9= XMM10= XMM11= XMM12= XMM13= XMM14= XMM15= MXCSR=FFFFFFFF MM0= MM1= MM2= MM3= 
00001DC9	.text:sum	push    rbp	RSP=00007FFEB943A280 
00001DC9	.text:sum+1	mov     rbp, rsp	RBP=00007FFEB943A280 
00001DC9	.text:sum+4	sub     rsp, 180h	RSP=00007FFEB943A100 
00001DC9	.text:sum+B	mov     [rbp+var_174], edi	
00001DC9	.text:sum+11	mov     [rbp+var_178], esi	
00001DC9	.text:sum+17	mov     rax, fs:28h	RAX=617F65558707E900 
00001DC9	.text:sum+20	mov     [rbp+var_8], rax	
00001DC9	.text:sum+24	xor     eax, eax	RAX=0000000000000000 ZF=1 
00001DC9	.text:sum+26	mov     [rbp+var_168], 1	
00001DC9	.text:sum+30	mov     edi, 18h; size	RDI=0000000000000018 
00001DC9	.text:sum+35	call    _malloc	RSP=00007FFEB943A0F8 
00001DC9	.plt:_malloc	jmp     cs:malloc_ptr	RAX=00005624F6EC92A0 RCX=00005624F6EC92B0 RDX=0000000000000021 RSI=0000000000000000 RDI=0000000000000000 RSP=00007FFEB943A100 R8=00005624F6EC92A0 R9=00007FE4912D3070 R10=00007FE4914BBBE0 R11=00007FE4914BBBE0 
00001DC9	.text:sum+3A	mov     [rbp+var_150], rax	
00001DC9	.text:sum+41	mov     rax, [rbp+var_150]	
00001DC9	.text:sum+48	mov     rdx, [rbp+var_150]	RDX=00005624F6EC92A0 
00001DC9	.text:sum+4F	mov     [rax], rdx	
00001DC9	.text:sum+52	mov     rax, [rbp+var_150]	
00001DC9	.text:sum+59	mov     rdx, [rbp+var_150]	
00001DC9	.text:sum+60	mov     [rax+10h], rdx	
00001DC9	.text:sum+64	mov     rax, [rbp+var_150]	
00001DC9	.text:sum+6B	mov     cs:_2_sum_1_opaque_list_1, rax	
00001DC9	.text:sum+72	mov     eax, 0	RAX=0000000000000000 
00001DC9	.text:sum+77	call    _rand	RSP=00007FFEB943A0F8 
00001DC9	.plt:_rand	jmp     cs:rand_ptr	RAX=000000006B8B4567 RCX=0000000000000000 RDX=000000006B8B4567 RSI=00007FFEB943A0D4 RDI=00007FE4914BB740 RSP=00007FFEB943A100 R8=0000000000000000 R9=00007FE4914BB240 PF=0 ZF=0 
00001DC9	.text:sum+7C	mov     [rbp+var_164], eax	
00001DC9	.text:sum+82	mov     edi, 18h; size	RDI=0000000000000018 
00001DC9	.text:sum+87	call    _malloc	RSP=00007FFEB943A0F8 
00001DC9	.plt:_malloc	jmp     cs:malloc_ptr	RAX=00005624F6EC92C0 RCX=00005624F6EC92D0 RDX=0000000000000021 RSI=0000000000000000 RDI=0000000000000000 RSP=00007FFEB943A100 R8=00005624F6EC92C0 PF=1 ZF=1 
00001DC9	.text:sum+8C	mov     [rbp+var_148], rax	
00001DC9	.text:sum+93	mov     rax, [rbp+var_148]	
00001DC9	.text:sum+9A	mov     dword ptr [rax+8], 0	
00001DC9	.text:sum+A1	mov     rax, cs:_2_sum_1_opaque_list_1	RAX=00005624F6EC92A0 
00001DC9	.text:sum+A8	mov     rdx, [rax]	RDX=00005624F6EC92A0 
00001DC9	.text:sum+AB	mov     rax, [rbp+var_148]	RAX=00005624F6EC92C0 
00001DC9	.text:sum+B2	mov     [rax], rdx	
00001DC9	.text:sum+B5	mov     rdx, cs:_2_sum_1_opaque_list_1	
00001DC9	.text:sum+BC	mov     rax, [rbp+var_148]	
00001DC9	.text:sum+C3	mov     [rax+10h], rdx	
00001DC9	.text:sum+C7	mov     rax, cs:_2_sum_1_opaque_list_1	RAX=00005624F6EC92A0 
00001DC9	.text:sum+CE	mov     rax, [rax]	
00001DC9	.text:sum+D1	mov     rdx, [rbp+var_148]	RDX=00005624F6EC92C0 
00001DC9	.text:sum+D8	mov     [rax+10h], rdx	
00001DC9	.text:sum+DC	mov     rax, cs:_2_sum_1_opaque_list_1	
00001DC9	.text:sum+E3	mov     rdx, [rbp+var_148]	
00001DC9	.text:sum+EA	mov     [rax], rdx	
00001DC9	.text:sum+ED	mov     eax, 0	RAX=0000000000000000 
