Thread	Address	Instruction	Result
000013BA	.text:sum	Memory layout changed: 43 segments	Memory layout changed: 43 segments
000013BA			ST0=FFFFFFFFFFFFFFFF ST1=FFFFFFFFFFFFFFFF ST2=FFFFFFFFFFFFFFFF ST3=FFFFFFFFFFFFFFFF ST4=FFFFFFFFFFFFFFFF ST5=FFFFFFFFFFFFFFFF ST6=FFFFFFFFFFFFFFFF ST7=FFFFFFFFFFFFFFFF CTRL=FFFF CS=0033 DS=0000 ES=0000 FS=0000 GS=0000 SS=002B RAX=0000000000000006 RBX=0000564775332260 RCX=0000564775332260 RDX=0000000000000009 RSI=0000000000000009 RDI=0000000000000006 RBP=00007FFFAFFCEB80 RSP=00007FFFAFFCEB38 R8=0000000000000000 R9=00007F14AC315D50 R10=0000000000000003 R11=0000000000000000 R12=0000564775331DC0 R13=00007FFFAFFCEC70 R14=0000000000000000 R15=0000000000000000 EFL=00000202 XMM0= XMM1= XMM2= XMM3= XMM4= XMM5= XMM6= XMM7= XMM8= XMM9= XMM10= XMM11= XMM12= XMM13= XMM14= XMM15= MXCSR=FFFFFFFF MM0= MM1= MM2= MM3= 
000013BA	.text:sum	push    rbp	RSP=00007FFFAFFCEB30 
000013BA	.text:sum+1	mov     rbp, rsp	RBP=00007FFFAFFCEB30 
000013BA	.text:sum+4	sub     rsp, 940h	RSP=00007FFFAFFCE1F0 PF=1 
000013BA	.text:sum+B	mov     [rbp+var_934], edi	
000013BA	.text:sum+11	mov     [rbp+var_938], esi	
000013BA	.text:sum+17	mov     rax, fs:28h	RAX=9ABEF2F90EA76E00 
000013BA	.text:sum+20	mov     [rbp+var_8], rax	
000013BA	.text:sum+24	xor     eax, eax	RAX=0000000000000000 ZF=1 
000013BA	.text:sum+26	lea     rax, [rbp+var_820]	RAX=00007FFFAFFCE310 
000013BA	.text:sum+2D	lea     rdx, off_564775533040	RDX=0000564775533040 
000013BA	.text:sum+34	mov     ecx, 100h	RCX=0000000000000100 
000013BA	.text:sum+39	mov     rdi, rax	RDI=00007FFFAFFCE310 
000013BA	.text:sum+3C	mov     rsi, rdx	RSI=0000564775533040 
000013BA	.text:sum+3F	rep movsq	RCX=0000000000000000 RSI=0000564775533840 RDI=00007FFFAFFCEB10 
000013BA	.text:sum+42	lea     rax, [rbp+var_920]	RAX=00007FFFAFFCE210 
000013BA	.text:sum+49	mov     [rbp+var_930], rax	
000013BA	.text:sum+50	lea     rax, _1_sum_$array	RAX=0000564775533020 
000013BA	.text:sum+57	mov     [rbp+var_928], rax	
000013BA	.text:sum+5E	mov     rax, [rbp+var_928]	
000013BA	.text:sum+65	movzx   eax, byte ptr [rax]	RAX=00000000000000B7 
000013BA	.text:sum+68	movzx   eax, al	
000013BA	.text:sum+6B	cdqe	
000013BA	.text:sum+6D	mov     rax, [rbp+rax*8+var_820]	RAX=0000564775332044 
000013BA	.text:sum+75	jmp     short loc_564775331FA9	
000013BA	.text:sum:loc_564775331FA9	jmp     rax	
000013BA	.text:sub_564775332044	mov     rax, [rbp-928h]	RAX=0000564775533020 
000013BA	.text:sub_564775332044+7	add     rax, 1	RAX=0000564775533021 ZF=0 
000013BA	.text:sub_564775332044+B	mov     [rbp-928h], rax	
000013BA	.text:sub_564775332044+12	mov     rax, [rbp-928h]	
000013BA	.text:sub_564775332044+19	mov     eax, [rax]	RAX=0000000000000001 
000013BA	.text:sub_564775332044+1B	test    eax, eax	PF=0 
000013BA	.text:sub_564775332044+1D	jz      short loc_56477533207F	
000013BA	.text:sub_564775332044+1F	cmp     eax, 1	PF=1 ZF=1 
000013BA	.text:sub_564775332044+22	jnz     short loc_564775332095	
000013BA	.text:sub_564775332044+24	mov     rax, [rbp-930h]	RAX=00007FFFAFFCE210 
000013BA	.text:sub_564775332044+2B	lea     rdx, [rax+8]	RDX=00007FFFAFFCE218 
000013BA	.text:sub_564775332044+2F	lea     rax, [rbp-938h]	RAX=00007FFFAFFCE1F8 
000013BA	.text:sub_564775332044+36	mov     [rdx], rax	
000013BA	.text:sub_564775332044+39	jmp     short loc_564775332095	
000013BA	.text:sub_564775332044:loc_564775332095	mov     rax, [rbp-930h]	RAX=00007FFFAFFCE210 
000013BA	.text:sub_564775332044+58	add     rax, 8	RAX=00007FFFAFFCE218 ZF=0 
000013BA	.text:sub_564775332044+5C	mov     [rbp-930h], rax	
000013BA	.text:sub_564775332044+63	mov     rax, [rbp-928h]	RAX=0000564775533021 
000013BA	.text:sub_564775332044+6A	add     rax, 4	RAX=0000564775533025 PF=0 
000013BA	.text:sub_564775332044+6E	mov     [rbp-928h], rax	
000013BA	.text:sub_564775332044+75	mov     rax, [rbp-928h]	
000013BA	.text:sub_564775332044+7C	movzx   eax, byte ptr [rax]	RAX=0000000000000059 
000013BA	.text:sub_564775332044+7F	movzx   eax, al	
000013BA	.text:sub_564775332044+82	cdqe	
000013BA	.text:sub_564775332044+84	mov     rax, [rbp+rax*8-820h]	RAX=0000564775332001 
000013BA	.text:sub_564775332044+8C	jmp     loc_564775331FA9	
000013BA	.text:sum:loc_564775331FA9	jmp     rax	
000013BA	.text:sub_564775332001	mov     rax, [rbp-928h]	RAX=0000564775533025 
000013BA	.text:sub_564775332001+7	add     rax, 1	RAX=0000564775533026 
000013BA	.text:sub_564775332001+B	mov     [rbp-928h], rax	
000013BA	.text:sub_564775332001+12	mov     rax, [rbp-930h]	RAX=00007FFFAFFCE218 
000013BA	.text:sub_564775332001+19	mov     rdx, [rax]	RDX=00007FFFAFFCE1F8 
000013BA	.text:sub_564775332001+1C	mov     rax, [rbp-930h]	
000013BA	.text:sub_564775332001+23	mov     edx, [rdx]	RDX=0000000000000009 
000013BA	.text:sub_564775332001+25	mov     [rax], edx	
000013BA	.text:sub_564775332001+27	mov     rax, [rbp-928h]	RAX=0000564775533026 
000013BA	.text:sub_564775332001+2E	movzx   eax, byte ptr [rax]	RAX=00000000000000B7 
000013BA	.text:sub_564775332001+31	movzx   eax, al	
000013BA	.text:sub_564775332001+34	cdqe	
000013BA	.text:sub_564775332001+36	mov     rax, [rbp+rax*8-820h]	RAX=0000564775332044 
000013BA	.text:sub_564775332001+3E	jmp     loc_564775331FA9	
000013BA	.text:sum:loc_564775331FA9	jmp     rax	
000013BA	.text:sub_564775332044	mov     rax, [rbp-928h]	RAX=0000564775533026 
000013BA	.text:sub_564775332044+7	add     rax, 1	RAX=0000564775533027 PF=1 
000013BA	.text:sub_564775332044+B	mov     [rbp-928h], rax	
