Thread	Address	Instruction	Result
00001609	.text:sum	Memory layout changed: 43 segments	Memory layout changed: 43 segments
00001609			ST0=FFFFFFFFFFFFFFFF ST1=FFFFFFFFFFFFFFFF ST2=FFFFFFFFFFFFFFFF ST3=FFFFFFFFFFFFFFFF ST4=FFFFFFFFFFFFFFFF ST5=FFFFFFFFFFFFFFFF ST6=FFFFFFFFFFFFFFFF ST7=FFFFFFFFFFFFFFFF CTRL=FFFF CS=0033 DS=0000 ES=0000 FS=0000 GS=0000 SS=002B RAX=0000000000000006 RBX=00005569944EC9F0 RCX=00005569944EC9F0 RDX=0000000000000009 RSI=0000000000000009 RDI=0000000000000006 RBP=00007FFE59FBBEE0 RSP=00007FFE59FBBE98 R8=0000000000000000 R9=00007FE36CC9AD50 R10=0000000000000003 R11=0000000000000000 R12=00005569944EC5C0 R13=00007FFE59FBBFD0 R14=0000000000000000 R15=0000000000000000 EFL=00000206 XMM0= XMM1= XMM2= XMM3= XMM4= XMM5= XMM6= XMM7= XMM8= XMM9= XMM10= XMM11= XMM12= XMM13= XMM14= XMM15= MXCSR=FFFFFFFF MM0= MM1= MM2= MM3= 
00001609	.text:sum	push    rbp	RSP=00007FFE59FBBE90 
00001609	.text:sum+1	mov     rbp, rsp	RBP=00007FFE59FBBE90 
00001609	.text:sum+4	sub     rsp, 140h	RSP=00007FFE59FBBD50 
00001609	.text:sum+B	mov     [rbp+var_134], edi	
00001609	.text:sum+11	mov     [rbp+var_138], esi	
00001609	.text:sum+17	mov     rax, fs:28h	RAX=E78D0A907FBDBC00 
00001609	.text:sum+20	mov     [rbp+var_8], rax	
00001609	.text:sum+24	xor     eax, eax	RAX=0000000000000000 ZF=1 
00001609	.text:sum+26	lea     rax, [rbp+var_120]	RAX=00007FFE59FBBD70 
00001609	.text:sum+2D	mov     [rbp+var_130], rax	
00001609	.text:sum+34	lea     rax, _1_sum_$array	RAX=00005569946ED010 
00001609	.text:sum+3B	mov     [rbp+var_128], rax	
00001609	.text:sum:loc_5569944EC78D	mov     rax, [rbp+var_128]	
00001609	.text:sum+49	movzx   eax, byte ptr [rax]	RAX=0000000000000003 
00001609	.text:sum+4C	movzx   eax, al	
00001609	.text:sum+4F	cmp     eax, 5Bh ; '['	CF=1 PF=0 AF=1 ZF=0 SF=1 
00001609	.text:sum+52	jz      short loc_5569944EC7DC	
00001609	.text:sum+54	cmp     eax, 5Bh ; '['	
00001609	.text:sum+57	jg      short loc_5569944EC7C1	
00001609	.text:sum+59	cmp     eax, 3	CF=0 PF=1 AF=0 ZF=1 SF=0 
00001609	.text:sum+5C	jz      loc_5569944EC927	
00001609	.text:sum:loc_5569944EC927	mov     rax, [rbp+var_128]	RAX=00005569946ED010 
00001609	.text:sum+1E3	add     rax, 1	RAX=00005569946ED011 ZF=0 
00001609	.text:sum+1E7	mov     [rbp+var_128], rax	
00001609	.text:sum+1EE	mov     rax, [rbp+var_128]	
00001609	.text:sum+1F5	mov     eax, [rax]	RAX=0000000000000001 
