Thread	Address	Instruction	Result
00001593	.text:sum	Memory layout changed: 43 segments	Memory layout changed: 43 segments
00001593			ST0=FFFFFFFFFFFFFFFF ST1=FFFFFFFFFFFFFFFF ST2=FFFFFFFFFFFFFFFF ST3=FFFFFFFFFFFFFFFF ST4=FFFFFFFFFFFFFFFF ST5=FFFFFFFFFFFFFFFF ST6=FFFFFFFFFFFFFFFF ST7=FFFFFFFFFFFFFFFF CTRL=FFFF CS=0033 DS=0000 ES=0000 FS=0000 GS=0000 SS=002B RAX=0000000000000006 RBX=0000560E01F02B80 RCX=0000560E01F02B80 RDX=0000000000000009 RSI=0000000000000009 RDI=0000000000000006 RBP=00007FFC8EEBFA80 RSP=00007FFC8EEBFA38 R8=0000000000000000 R9=00007F5B568F4D50 R10=0000000000000003 R11=0000000000000000 R12=0000560E01F025C0 R13=00007FFC8EEBFB70 R14=0000000000000000 R15=0000000000000000 EFL=00000202 XMM0= XMM1= XMM2= XMM3= XMM4= XMM5= XMM6= XMM7= XMM8= XMM9= XMM10= XMM11= XMM12= XMM13= XMM14= XMM15= MXCSR=FFFFFFFF MM0= MM1= MM2= MM3= 
00001593	.text:sum	push    rbp	RSP=00007FFC8EEBFA30 
00001593	.text:sum+1	mov     rbp, rsp	RBP=00007FFC8EEBFA30 
00001593	.text:sum+4	sub     rsp, 1C0h	RSP=00007FFC8EEBF870 
00001593	.text:sum+B	mov     [rbp+var_1B4], edi	
00001593	.text:sum+11	mov     [rbp+var_1B8], esi	
00001593	.text:sum+17	mov     rax, fs:28h	RAX=69E5A8E7A9262100 
00001593	.text:sum+20	mov     [rbp+var_8], rax	
00001593	.text:sum+24	xor     eax, eax	RAX=0000000000000000 PF=1 ZF=1 
00001593	.text:sum+26	mov     [rbp+var_190], 3Eh ; '>'	
00001593	.text:sum+2D	lea     rax, sub_560E01F02927	RAX=0000560E01F02927 
00001593	.text:sum+34	mov     [rbp+var_188], rax	
00001593	.text:sum+3B	mov     [rbp+var_180], 59h ; 'Y'	
00001593	.text:sum+42	lea     rax, loc_560E01F02AB1	RAX=0000560E01F02AB1 
00001593	.text:sum+49	mov     [rbp+var_178], rax	
00001593	.text:sum+50	mov     [rbp+var_170], 7Eh ; '~'	
00001593	.text:sum+57	lea     rax, loc_560E01F02A55	RAX=0000560E01F02A55 
00001593	.text:sum+5E	mov     [rbp+var_168], rax	
00001593	.text:sum+65	mov     [rbp+var_160], 0B2h	
00001593	.text:sum+6C	lea     rax, loc_560E01F02A07	RAX=0000560E01F02A07 
00001593	.text:sum+73	mov     [rbp+var_158], rax	
00001593	.text:sum+7A	mov     [rbp+var_150], 0B7h	
00001593	.text:sum+81	lea     rax, loc_560E01F0298D	RAX=0000560E01F0298D 
00001593	.text:sum+88	mov     [rbp+var_148], rax	
00001593	.text:sum+8F	mov     [rbp+var_140], 0F2h	
00001593	.text:sum+96	lea     rax, sub_560E01F028E5	RAX=0000560E01F028E5 
00001593	.text:sum+9D	mov     [rbp+var_138], rax	
00001593	.text:sum+A4	mov     [rbp+var_130], 0F9h	
00001593	.text:sum+AB	lea     rax, sub_560E01F0295A	RAX=0000560E01F0295A 
00001593	.text:sum+B2	mov     [rbp+var_128], rax	
00001593	.text:sum+B9	lea     rax, [rbp+var_120]	RAX=00007FFC8EEBF910 
00001593	.text:sum+C0	mov     [rbp+var_1A0], rax	
00001593	.text:sum+C7	lea     rax, _1_sum_$array	RAX=0000560E02104010 
00001593	.text:sum+CE	mov     [rbp+var_198], rax	
00001593	.text:sum:loc_560E01F0279F	mov     rax, [rbp+var_198]	
00001593	.text:sum+DC	movzx   eax, byte ptr [rax]	RAX=00000000000000B7 
00001593	.text:sum+DF	mov     [rbp+var_1AD], al	
00001593	.text:sum+E5	mov     [rbp+var_1AC], 0	
