Thread	Address	Instruction	Result
0000152A	.text:sum	Memory layout changed: 43 segments	Memory layout changed: 43 segments
0000152A			ST0=FFFFFFFFFFFFFFFF ST1=FFFFFFFFFFFFFFFF ST2=FFFFFFFFFFFFFFFF ST3=FFFFFFFFFFFFFFFF ST4=FFFFFFFFFFFFFFFF ST5=FFFFFFFFFFFFFFFF ST6=FFFFFFFFFFFFFFFF ST7=FFFFFFFFFFFFFFFF CTRL=FFFF CS=0033 DS=0000 ES=0000 FS=0000 GS=0000 SS=002B RAX=0000000000000006 RBX=00005608B5E27A90 RCX=00005608B5E27A90 RDX=0000000000000009 RSI=0000000000000009 RDI=0000000000000006 RBP=00007FFF9B47D450 RSP=00007FFF9B47D408 R8=0000000000000000 R9=00007F4FC3524D50 R10=0000000000000003 R11=0000000000000000 R12=00005608B5E275C0 R13=00007FFF9B47D540 R14=0000000000000000 R15=0000000000000000 EFL=00000202 XMM0= XMM1= XMM2= XMM3= XMM4= XMM5= XMM6= XMM7= XMM8= XMM9= XMM10= XMM11= XMM12= XMM13= XMM14= XMM15= MXCSR=FFFFFFFF MM0= MM1= MM2= MM3= 
0000152A	.text:sum	push    rbp	RSP=00007FFF9B47D400 
0000152A	.text:sum+1	mov     rbp, rsp	RBP=00007FFF9B47D400 
0000152A	.text:sum+4	sub     rsp, 1C0h	RSP=00007FFF9B47D240 
0000152A	.text:sum+B	mov     [rbp+var_1B4], edi	
0000152A	.text:sum+11	mov     [rbp+var_1B8], esi	
0000152A	.text:sum+17	mov     rax, fs:28h	RAX=800A81A99D67DE00 
0000152A	.text:sum+20	mov     [rbp+var_8], rax	
0000152A	.text:sum+24	xor     eax, eax	RAX=0000000000000000 PF=1 ZF=1 
0000152A	.text:sum+26	mov     [rbp+var_190], 3Eh ; '>'	
0000152A	.text:sum+2D	lea     rax, sub_5608B5E278CE	RAX=00005608B5E278CE 
0000152A	.text:sum+34	mov     [rbp+var_188], rax	
0000152A	.text:sum+3B	mov     [rbp+var_180], 59h ; 'Y'	
0000152A	.text:sum+42	lea     rax, loc_5608B5E27A58	RAX=00005608B5E27A58 
0000152A	.text:sum+49	mov     [rbp+var_178], rax	
0000152A	.text:sum+50	mov     [rbp+var_170], 7Eh ; '~'	
0000152A	.text:sum+57	lea     rax, loc_5608B5E279FC	RAX=00005608B5E279FC 
0000152A	.text:sum+5E	mov     [rbp+var_168], rax	
0000152A	.text:sum+65	mov     [rbp+var_160], 0B2h	
0000152A	.text:sum+6C	lea     rax, loc_5608B5E279AE	RAX=00005608B5E279AE 
0000152A	.text:sum+73	mov     [rbp+var_158], rax	
0000152A	.text:sum+7A	mov     [rbp+var_150], 0B7h	
0000152A	.text:sum+81	lea     rax, loc_5608B5E27934	RAX=00005608B5E27934 
0000152A	.text:sum+88	mov     [rbp+var_148], rax	
0000152A	.text:sum+8F	mov     [rbp+var_140], 0F2h	
0000152A	.text:sum+96	lea     rax, sub_5608B5E2788C	RAX=00005608B5E2788C 
0000152A	.text:sum+9D	mov     [rbp+var_138], rax	
0000152A	.text:sum+A4	mov     [rbp+var_130], 0F9h	
0000152A	.text:sum+AB	lea     rax, sub_5608B5E27901	RAX=00005608B5E27901 
0000152A	.text:sum+B2	mov     [rbp+var_128], rax	
0000152A	.text:sum+B9	lea     rax, [rbp+var_120]	RAX=00007FFF9B47D2E0 
0000152A	.text:sum+C0	mov     [rbp+var_1A0], rax	
0000152A	.text:sum+C7	lea     rax, _1_sum_$array	RAX=00005608B6028010 
0000152A	.text:sum+CE	mov     [rbp+var_198], rax	
0000152A	.text:sum:loc_5608B5E2782E	mov     rax, [rbp+var_198]	
0000152A	.text:sum+DC	movzx   eax, byte ptr [rax]	RAX=00000000000000B7 
0000152A	.text:sum+DF	mov     [rbp+var_1A5], al	
0000152A	.text:sum+E5	mov     [rbp+var_1A4], 0	
0000152A	.text:sum+EF	jmp     short loc_5608B5E27851	
0000152A	.text:sum:loc_5608B5E27851	mov     eax, [rbp+var_1A4]	RAX=0000000000000000 
0000152A	.text:sum+FE	cdqe	
0000152A	.text:sum+100	shl     rax, 4	
0000152A	.text:sum+104	add     rax, rbp	RAX=00007FFF9B47D400 ZF=0 
0000152A	.text:sum+107	sub     rax, 190h	RAX=00007FFF9B47D270 PF=0 
0000152A	.text:sum+10D	movzx   eax, byte ptr [rax]	RAX=000000000000003E 
0000152A	.text:sum+110	cmp     [rbp+var_1A5], al	AF=1 OF=1 
0000152A	.text:sum+116	jnz     short loc_5608B5E2784A	
0000152A	.text:sum:loc_5608B5E2784A	add     [rbp+var_1A4], 1	AF=0 OF=0 
0000152A	.text:sum:loc_5608B5E27851	mov     eax, [rbp+var_1A4]	RAX=0000000000000001 
0000152A	.text:sum+FE	cdqe	
0000152A	.text:sum+100	shl     rax, 4	RAX=0000000000000010 
0000152A	.text:sum+104	add     rax, rbp	RAX=00007FFF9B47D410 
0000152A	.text:sum+107	sub     rax, 190h	RAX=00007FFF9B47D280 
0000152A	.text:sum+10D	movzx   eax, byte ptr [rax]	RAX=0000000000000059 
0000152A	.text:sum+110	cmp     [rbp+var_1A5], al	AF=1 OF=1 
0000152A	.text:sum+116	jnz     short loc_5608B5E2784A	
0000152A	.text:sum:loc_5608B5E2784A	add     [rbp+var_1A4], 1	AF=0 OF=0 
0000152A	.text:sum:loc_5608B5E27851	mov     eax, [rbp+var_1A4]	RAX=0000000000000002 
0000152A	.text:sum+FE	cdqe	
0000152A	.text:sum+100	shl     rax, 4	RAX=0000000000000020 
0000152A	.text:sum+104	add     rax, rbp	RAX=00007FFF9B47D420 
0000152A	.text:sum+107	sub     rax, 190h	RAX=00007FFF9B47D290 PF=1 
0000152A	.text:sum+10D	movzx   eax, byte ptr [rax]	RAX=000000000000007E 
0000152A	.text:sum+110	cmp     [rbp+var_1A5], al	AF=1 OF=1 
0000152A	.text:sum+116	jnz     short loc_5608B5E2784A	
0000152A	.text:sum:loc_5608B5E2784A	add     [rbp+var_1A4], 1	AF=0 OF=0 
0000152A	.text:sum:loc_5608B5E27851	mov     eax, [rbp+var_1A4]	RAX=0000000000000003 
0000152A	.text:sum+FE	cdqe	
0000152A	.text:sum+100	shl     rax, 4	RAX=0000000000000030 
0000152A	.text:sum+104	add     rax, rbp	RAX=00007FFF9B47D430 
0000152A	.text:sum+107	sub     rax, 190h	RAX=00007FFF9B47D2A0 
0000152A	.text:sum+10D	movzx   eax, byte ptr [rax]	RAX=00000000000000B2 
0000152A	.text:sum+110	cmp     [rbp+var_1A5], al	
0000152A	.text:sum+116	jnz     short loc_5608B5E2784A	
0000152A	.text:sum:loc_5608B5E2784A	add     [rbp+var_1A4], 1	PF=0 
0000152A	.text:sum:loc_5608B5E27851	mov     eax, [rbp+var_1A4]	RAX=0000000000000004 
0000152A	.text:sum+FE	cdqe	
0000152A	.text:sum+100	shl     rax, 4	RAX=0000000000000040 
0000152A	.text:sum+104	add     rax, rbp	RAX=00007FFF9B47D440 
0000152A	.text:sum+107	sub     rax, 190h	RAX=00007FFF9B47D2B0 
0000152A	.text:sum+10D	movzx   eax, byte ptr [rax]	RAX=00000000000000B7 
0000152A	.text:sum+110	cmp     [rbp+var_1A5], al	PF=1 ZF=1 
0000152A	.text:sum+116	jnz     short loc_5608B5E2784A	
0000152A	.text:sum+118	mov     eax, [rbp+var_1A4]	RAX=0000000000000004 
0000152A	.text:sum+11E	cdqe	
0000152A	.text:sum+120	shl     rax, 4	RAX=0000000000000040 PF=0 ZF=0 
0000152A	.text:sum+124	add     rax, rbp	RAX=00007FFF9B47D440 
0000152A	.text:sum+127	sub     rax, 188h	RAX=00007FFF9B47D2B8 PF=1 AF=1 
0000152A	.text:sum+12D	mov     rax, [rax]	RAX=00005608B5E27934 
0000152A	.text:sum+130	nop	
0000152A	.text:sum+131	jmp     rax	
0000152A	.text:sub_5608B5E27901:loc_5608B5E27934	mov     rax, [rbp-198h]	RAX=00005608B6028010 
0000152A	.text:sub_5608B5E27901+3A	add     rax, 1	RAX=00005608B6028011 AF=0 
0000152A	.text:sub_5608B5E27901+3E	mov     [rbp-198h], rax	
0000152A	.text:sub_5608B5E27901+45	mov     rax, [rbp-198h]	
0000152A	.text:sub_5608B5E27901+4C	mov     eax, [rax]	RAX=0000000000000001 
0000152A	.text:sub_5608B5E27901+4E	test    eax, eax	PF=0 
0000152A	.text:sub_5608B5E27901+50	jz      short loc_5608B5E2796F	
0000152A	.text:sub_5608B5E27901+52	cmp     eax, 1	PF=1 ZF=1 
0000152A	.text:sub_5608B5E27901+55	jnz     short loc_5608B5E27985	
0000152A	.text:sub_5608B5E27901+57	mov     rax, [rbp-1A0h]	RAX=00007FFF9B47D2E0 
0000152A	.text:sub_5608B5E27901+5E	lea     rdx, [rax+8]	RDX=00007FFF9B47D2E8 
0000152A	.text:sub_5608B5E27901+62	lea     rax, [rbp-1B8h]	RAX=00007FFF9B47D248 
0000152A	.text:sub_5608B5E27901+69	mov     [rdx], rax	
0000152A	.text:sub_5608B5E27901+6C	jmp     short loc_5608B5E27985	
0000152A	.text:sub_5608B5E27901:loc_5608B5E27985	mov     rax, [rbp-1A0h]	RAX=00007FFF9B47D2E0 
0000152A	.text:sub_5608B5E27901+8B	add     rax, 8	RAX=00007FFF9B47D2E8 ZF=0 
0000152A	.text:sub_5608B5E27901+8F	mov     [rbp-1A0h], rax	
0000152A	.text:sub_5608B5E27901+96	mov     rax, [rbp-198h]	RAX=00005608B6028011 
0000152A	.text:sub_5608B5E27901+9D	add     rax, 4	RAX=00005608B6028015 PF=0 
0000152A	.text:sub_5608B5E27901+A1	mov     [rbp-198h], rax	
0000152A	.text:sub_5608B5E27901+A8	jmp     loc_5608B5E2782E	
