Thread	Address	Instruction	Result
0000102D	.text:main+56	Memory layout changed: 43 segments	Memory layout changed: 43 segments
0000102D			ST0=FFFFFFFFFFFFFFFF ST1=FFFFFFFFFFFFFFFF ST2=FFFFFFFFFFFFFFFF ST3=FFFFFFFFFFFFFFFF ST4=FFFFFFFFFFFFFFFF ST5=FFFFFFFFFFFFFFFF ST6=FFFFFFFFFFFFFFFF ST7=FFFFFFFFFFFFFFFF CTRL=FFFF CS=0033 DS=0000 ES=0000 FS=0000 GS=0000 SS=002B RAX=0000000000000006 RBX=000056441410F9F0 RCX=000056441410F9F0 RDX=0000000000000009 RSI=0000000000000009 RDI=0000000000000006 RBP=00007FFED3F79E10 RSP=00007FFED3F79DD0 R8=0000000000000000 R9=00007F276E6ABD50 R10=0000000000000003 R11=0000000000000000 R12=000056441410F5C0 R13=00007FFED3F79F00 R14=0000000000000000 R15=0000000000000000 EFL=00000202 XMM0= XMM1= XMM2= XMM3= XMM4= XMM5= XMM6= XMM7= XMM8= XMM9= XMM10= XMM11= XMM12= XMM13= XMM14= XMM15= MXCSR=FFFFFFFF MM0= MM1= MM2= MM3= 
0000102D	.text:main+56	call    sum	RSP=00007FFED3F79DC8 
0000102D	.text:sum	push    rbp	RSP=00007FFED3F79DC0 
0000102D	.text:sum+1	mov     rbp, rsp	RBP=00007FFED3F79DC0 
0000102D	.text:sum+4	sub     rsp, 140h	RSP=00007FFED3F79C80 
0000102D	.text:sum+B	mov     [rbp+var_134], edi	
0000102D	.text:sum+11	mov     [rbp+var_138], esi	
0000102D	.text:sum+17	mov     rax, fs:28h	RAX=01A085B9EF8D1200 
0000102D	.text:sum+20	mov     [rbp+var_8], rax	
0000102D	.text:sum+24	xor     eax, eax	RAX=0000000000000000 PF=1 ZF=1 
0000102D	.text:sum+26	lea     rax, [rbp+var_120]	RAX=00007FFED3F79CA0 
0000102D	.text:sum+2D	mov     [rbp+var_130], rax	
0000102D	.text:sum+34	lea     rax, _1_sum_$array	RAX=0000564414310010 
0000102D	.text:sum+3B	mov     [rbp+var_128], rax	
0000102D	.text:sum:loc_56441410F794	mov     rax, [rbp+var_128]	
0000102D	.text:sum+49	movzx   eax, byte ptr [rax]	RAX=00000000000000B7 
0000102D	.text:sum+4C	movzx   eax, al	
0000102D	.text:sum+4F	cmp     eax, 0B2h	ZF=0 
0000102D	.text:sum+54	jz      loc_56441410F933	
0000102D	.text:sum+5A	cmp     eax, 0B2h	
0000102D	.text:sum+5F	jg      short loc_56441410F7CC	
0000102D	.text:sum:loc_56441410F7CC	cmp     eax, 0F2h	CF=1 SF=1 
0000102D	.text:sum+7F	jz      loc_56441410F877	
0000102D	.text:sum+85	cmp     eax, 0F9h	AF=1 
0000102D	.text:sum+8A	jz      loc_56441410F97E	
0000102D	.text:sum+90	cmp     eax, 0B7h	CF=0 AF=0 ZF=1 SF=0 
0000102D	.text:sum+95	jz      loc_56441410F8B9	
0000102D	.text:sum:loc_56441410F8B9	mov     rax, [rbp+var_128]	RAX=0000564414310010 
0000102D	.text:sum+16E	add     rax, 1	RAX=0000564414310011 ZF=0 
0000102D	.text:sum+172	mov     [rbp+var_128], rax	
0000102D	.text:sum+179	mov     rax, [rbp+var_128]	
0000102D	.text:sum+180	mov     eax, [rax]	RAX=0000000000000001 
0000102D	.text:sum+182	test    eax, eax	PF=0 
0000102D	.text:sum+184	jz      short loc_56441410F8F4	
