Thread	Address	Instruction	Result
0000173F	.text:sum	Memory layout changed: 43 segments	Memory layout changed: 43 segments
0000173F			ST0=FFFFFFFFFFFFFFFF ST1=FFFFFFFFFFFFFFFF ST2=FFFFFFFFFFFFFFFF ST3=FFFFFFFFFFFFFFFF ST4=FFFFFFFFFFFFFFFF ST5=FFFFFFFFFFFFFFFF ST6=FFFFFFFFFFFFFFFF ST7=FFFFFFFFFFFFFFFF CTRL=FFFF CS=0033 DS=0000 ES=0000 FS=0000 GS=0000 SS=002B RAX=0000000000000006 RBX=000055D68A24FAA0 RCX=000055D68A24FAA0 RDX=0000000000000009 RSI=0000000000000009 RDI=0000000000000006 RBP=00007FFE40D71250 RSP=00007FFE40D71208 R8=0000000000000000 R9=00007F5895E55D50 R10=0000000000000003 R11=0000000000000000 R12=000055D68A24F5C0 R13=00007FFE40D71340 R14=0000000000000000 R15=0000000000000000 EFL=00000202 XMM0= XMM1= XMM2= XMM3= XMM4= XMM5= XMM6= XMM7= XMM8= XMM9= XMM10= XMM11= XMM12= XMM13= XMM14= XMM15= MXCSR=FFFFFFFF MM0= MM1= MM2= MM3= 
0000173F	.text:sum	push    rbp	RSP=00007FFE40D71200 
0000173F	.text:sum+1	mov     rbp, rsp	RBP=00007FFE40D71200 
0000173F	.text:sum+4	sub     rsp, 180h	RSP=00007FFE40D71080 
0000173F	.text:sum+B	mov     [rbp+var_174], edi	
0000173F	.text:sum+11	mov     [rbp+var_178], esi	
0000173F	.text:sum+17	mov     rax, fs:28h	RAX=C393A779F65FED00 
0000173F	.text:sum+20	mov     [rbp+var_8], rax	
0000173F	.text:sum+24	xor     eax, eax	RAX=0000000000000000 PF=1 ZF=1 
0000173F	.text:sum+26	mov     [rbp+var_158], 1	
0000173F	.text:sum+30	mov     [rbp+var_154], 1	
0000173F	.text:sum+3A	lea     rax, [rbp+var_120]	RAX=00007FFE40D710E0 
0000173F	.text:sum+41	mov     [rbp+var_130], rax	
0000173F	.text:sum+48	lea     rax, _2_sum_$array	RAX=000055D68A450010 
0000173F	.text:sum+4F	mov     [rbp+var_150], rax	
0000173F	.text:sum+56	lea     rax, [rbp+var_150]	RAX=00007FFE40D710B0 
0000173F	.text:sum+5D	mov     [rbp+var_140], rax	
0000173F	.text:sum+64	lea     rax, [rbp+var_148]	RAX=00007FFE40D710B8 
0000173F	.text:sum+6B	mov     [rbp+var_138], rax	
0000173F	.text:sum+72	mov     [rbp+var_164], 0	
0000173F	.text:sum+7C	jmp     short loc_55D68A24F831	
0000173F	.text:sum:loc_55D68A24F831	cmp     [rbp+var_164], 7	CF=1 AF=1 ZF=0 SF=1 
0000173F	.text:sum+E6	jle     short loc_55D68A24F7D0	
0000173F	.text:sum:loc_55D68A24F7D0	mov     [rbp+var_160], 0	
0000173F	.text:sum+88	mov     [rbp+var_15C], 0	
0000173F	.text:sum+92	jmp     short loc_55D68A24F7F4	
0000173F	.text:sum:loc_55D68A24F7F4	mov     rax, [rbp+var_140]	RAX=00007FFE40D710B0 
0000173F	.text:sum+A9	movzx   eax, byte ptr [rax]	RAX=0000000000000010 
0000173F	.text:sum+AC	movzx   eax, al	
0000173F	.text:sum+AF	cmp     [rbp+var_15C], eax	AF=0 
0000173F	.text:sum+B5	jl      short loc_55D68A24F7E6	
0000173F	.text:sum:loc_55D68A24F7E6	add     [rbp+var_160], 1	CF=0 PF=0 SF=0 
0000173F	.text:sum+9B	add     [rbp+var_15C], 1	
0000173F	.text:sum:loc_55D68A24F7F4	mov     rax, [rbp+var_140]	RAX=00007FFE40D710B0 
0000173F	.text:sum+A9	movzx   eax, byte ptr [rax]	RAX=0000000000000010 
0000173F	.text:sum+AC	movzx   eax, al	
0000173F	.text:sum+AF	cmp     [rbp+var_15C], eax	CF=1 SF=1 
0000173F	.text:sum+B5	jl      short loc_55D68A24F7E6	
0000173F	.text:sum:loc_55D68A24F7E6	add     [rbp+var_160], 1	CF=0 SF=0 
0000173F	.text:sum+9B	add     [rbp+var_15C], 1	
0000173F	.text:sum:loc_55D68A24F7F4	mov     rax, [rbp+var_140]	RAX=00007FFE40D710B0 
0000173F	.text:sum+A9	movzx   eax, byte ptr [rax]	RAX=0000000000000010 
0000173F	.text:sum+AC	movzx   eax, al	
0000173F	.text:sum+AF	cmp     [rbp+var_15C], eax	CF=1 SF=1 
0000173F	.text:sum+B5	jl      short loc_55D68A24F7E6	
0000173F	.text:sum:loc_55D68A24F7E6	add     [rbp+var_160], 1	CF=0 PF=1 SF=0 
0000173F	.text:sum+9B	add     [rbp+var_15C], 1	
0000173F	.text:sum:loc_55D68A24F7F4	mov     rax, [rbp+var_140]	RAX=00007FFE40D710B0 
0000173F	.text:sum+A9	movzx   eax, byte ptr [rax]	RAX=0000000000000010 
0000173F	.text:sum+AC	movzx   eax, al	
0000173F	.text:sum+AF	cmp     [rbp+var_15C], eax	CF=1 SF=1 
0000173F	.text:sum+B5	jl      short loc_55D68A24F7E6	
0000173F	.text:sum:loc_55D68A24F7E6	add     [rbp+var_160], 1	CF=0 PF=0 SF=0 
0000173F	.text:sum+9B	add     [rbp+var_15C], 1	
0000173F	.text:sum:loc_55D68A24F7F4	mov     rax, [rbp+var_140]	RAX=00007FFE40D710B0 
0000173F	.text:sum+A9	movzx   eax, byte ptr [rax]	RAX=0000000000000010 
0000173F	.text:sum+AC	movzx   eax, al	
0000173F	.text:sum+AF	cmp     [rbp+var_15C], eax	CF=1 SF=1 
0000173F	.text:sum+B5	jl      short loc_55D68A24F7E6	
0000173F	.text:sum:loc_55D68A24F7E6	add     [rbp+var_160], 1	CF=0 PF=1 SF=0 
0000173F	.text:sum+9B	add     [rbp+var_15C], 1	
