Thread	Address	Instruction	Result
000017EA	.text:sum	Memory layout changed: 43 segments	Memory layout changed: 43 segments
000017EA			ST0=FFFFFFFFFFFFFFFF ST1=FFFFFFFFFFFFFFFF ST2=FFFFFFFFFFFFFFFF ST3=FFFFFFFFFFFFFFFF ST4=FFFFFFFFFFFFFFFF ST5=FFFFFFFFFFFFFFFF ST6=FFFFFFFFFFFFFFFF ST7=FFFFFFFFFFFFFFFF CTRL=FFFF CS=0033 DS=0000 ES=0000 FS=0000 GS=0000 SS=002B RAX=0000000000000006 RBX=00005605B7C2FAA0 RCX=00005605B7C2FAA0 RDX=0000000000000009 RSI=0000000000000009 RDI=0000000000000006 RBP=00007FFE44CFE290 RSP=00007FFE44CFE248 R8=0000000000000000 R9=00007F2664E95D50 R10=0000000000000003 R11=0000000000000000 R12=00005605B7C2F5C0 R13=00007FFE44CFE380 R14=0000000000000000 R15=0000000000000000 EFL=00000206 XMM0= XMM1= XMM2= XMM3= XMM4= XMM5= XMM6= XMM7= XMM8= XMM9= XMM10= XMM11= XMM12= XMM13= XMM14= XMM15= MXCSR=FFFFFFFF MM0= MM1= MM2= MM3= 
000017EA	.text:sum	push    rbp	RSP=00007FFE44CFE240 
000017EA	.text:sum+1	mov     rbp, rsp	RBP=00007FFE44CFE240 
000017EA	.text:sum+4	sub     rsp, 170h	RSP=00007FFE44CFE0D0 PF=0 
000017EA	.text:sum+B	mov     [rbp+var_164], edi	
000017EA	.text:sum+11	mov     [rbp+var_168], esi	
000017EA	.text:sum+17	mov     rax, fs:28h	RAX=E9A20387C150AB00 
000017EA	.text:sum+20	mov     [rbp+var_8], rax	
000017EA	.text:sum+24	xor     eax, eax	RAX=0000000000000000 PF=1 ZF=1 
000017EA	.text:sum+26	mov     [rbp+var_148], 1	
000017EA	.text:sum+30	mov     [rbp+var_144], 1	
000017EA	.text:sum+3A	lea     rax, [rbp+var_120]	RAX=00007FFE44CFE120 
000017EA	.text:sum+41	mov     [rbp+var_130], rax	
000017EA	.text:sum+48	lea     rax, _2_sum_$array	RAX=00005605B7E30010 
000017EA	.text:sum+4F	mov     [rbp+var_128], rax	
000017EA	.text:sum:loc_5605B7C2F7A8	mov     rax, [rbp+var_128]	
000017EA	.text:sum+5D	movzx   eax, byte ptr [rax]	RAX=0000000000000003 
000017EA	.text:sum+60	mov     [rbp+var_156], al	
000017EA	.text:sum+66	lea     rax, [rbp+var_156]	RAX=00007FFE44CFE0EA 
000017EA	.text:sum+6D	mov     [rbp+var_140], rax	
000017EA	.text:sum+74	lea     rax, [rbp+var_155]	RAX=00007FFE44CFE0EB 
000017EA	.text:sum+7B	mov     [rbp+var_138], rax	
000017EA	.text:sum+82	mov     [rbp+var_154], 0	
000017EA	.text:sum+8C	jmp     short loc_5605B7C2F841	
000017EA	.text:sum:loc_5605B7C2F841	cmp     [rbp+var_154], 0	
000017EA	.text:sum+F6	jle     short loc_5605B7C2F7E0	
000017EA	.text:sum:loc_5605B7C2F7E0	mov     [rbp+var_150], 0	
000017EA	.text:sum+98	mov     [rbp+var_14C], 0	
000017EA	.text:sum+A2	jmp     short loc_5605B7C2F804	
000017EA	.text:sum:loc_5605B7C2F804	mov     rax, [rbp+var_140]	RAX=00007FFE44CFE0EA 
000017EA	.text:sum+B9	movzx   eax, byte ptr [rax]	RAX=0000000000000003 
000017EA	.text:sum+BC	movzx   eax, al	
000017EA	.text:sum+BF	cmp     [rbp+var_14C], eax	CF=1 PF=0 AF=1 ZF=0 SF=1 
000017EA	.text:sum+C5	jl      short loc_5605B7C2F7F6	
000017EA	.text:sum:loc_5605B7C2F7F6	add     [rbp+var_150], 1	CF=0 AF=0 SF=0 
000017EA	.text:sum+AB	add     [rbp+var_14C], 1	
000017EA	.text:sum:loc_5605B7C2F804	mov     rax, [rbp+var_140]	RAX=00007FFE44CFE0EA 
000017EA	.text:sum+B9	movzx   eax, byte ptr [rax]	RAX=0000000000000003 
000017EA	.text:sum+BC	movzx   eax, al	
000017EA	.text:sum+BF	cmp     [rbp+var_14C], eax	CF=1 AF=1 SF=1 
000017EA	.text:sum+C5	jl      short loc_5605B7C2F7F6	
000017EA	.text:sum:loc_5605B7C2F7F6	add     [rbp+var_150], 1	CF=0 AF=0 SF=0 
000017EA	.text:sum+AB	add     [rbp+var_14C], 1	
000017EA	.text:sum:loc_5605B7C2F804	mov     rax, [rbp+var_140]	RAX=00007FFE44CFE0EA 
000017EA	.text:sum+B9	movzx   eax, byte ptr [rax]	RAX=0000000000000003 
000017EA	.text:sum+BC	movzx   eax, al	
000017EA	.text:sum+BF	cmp     [rbp+var_14C], eax	CF=1 PF=1 AF=1 SF=1 
000017EA	.text:sum+C5	jl      short loc_5605B7C2F7F6	
000017EA	.text:sum:loc_5605B7C2F7F6	add     [rbp+var_150], 1	CF=0 AF=0 SF=0 
000017EA	.text:sum+AB	add     [rbp+var_14C], 1	
000017EA	.text:sum:loc_5605B7C2F804	mov     rax, [rbp+var_140]	RAX=00007FFE44CFE0EA 
000017EA	.text:sum+B9	movzx   eax, byte ptr [rax]	RAX=0000000000000003 
000017EA	.text:sum+BC	movzx   eax, al	
000017EA	.text:sum+BF	cmp     [rbp+var_14C], eax	ZF=1 
000017EA	.text:sum+C5	jl      short loc_5605B7C2F7F6	
000017EA	.text:sum+C7	mov     eax, [rbp+var_150]	
000017EA	.text:sum+CD	mov     edx, eax	RDX=0000000000000003 
000017EA	.text:sum+CF	mov     rax, [rbp+var_138]	RAX=00007FFE44CFE0EB 
000017EA	.text:sum+D6	mov     [rax], dl	
000017EA	.text:sum+D8	add     [rbp+var_140], 1	ZF=0 
000017EA	.text:sum+E0	add     [rbp+var_138], 1	PF=0 
000017EA	.text:sum+E8	add     [rbp+var_154], 1	
000017EA	.text:sum:loc_5605B7C2F841	cmp     [rbp+var_154], 0	
000017EA	.text:sum+F6	jle     short loc_5605B7C2F7E0	
000017EA	.text:sum+F8	movzx   eax, [rbp+var_155]	RAX=0000000000000003 
000017EA	.text:sum+FF	movzx   eax, al	
000017EA	.text:sum+102	cmp     eax, 5Bh ; '['	CF=1 AF=1 SF=1 
000017EA	.text:sum+105	jz      short loc_5605B7C2F89C	
000017EA	.text:sum+107	cmp     eax, 5Bh ; '['	
000017EA	.text:sum+10A	jg      short loc_5605B7C2F87E	
000017EA	.text:sum+10C	cmp     eax, 3	CF=0 PF=1 AF=0 ZF=1 SF=0 
000017EA	.text:sum+10F	jz      loc_5605B7C2F9E7	
000017EA	.text:sum:loc_5605B7C2F9E7	mov     rax, [rbp+var_128]	RAX=00005605B7E30010 
000017EA	.text:sum+29C	add     rax, 1	RAX=00005605B7E30011 ZF=0 
000017EA	.text:sum+2A0	mov     [rbp+var_128], rax	
000017EA	.text:sum+2A7	mov     rax, [rbp+var_128]	
000017EA	.text:sum+2AE	mov     eax, [rax]	RAX=0000000000000001 
000017EA	.text:sum+2B0	test    eax, eax	PF=0 
000017EA	.text:sum+2B2	jz      short loc_5605B7C2FA22	
000017EA	.text:sum+2B4	cmp     eax, 1	PF=1 ZF=1 
000017EA	.text:sum+2B7	jnz     short loc_5605B7C2FA38	
000017EA	.text:sum+2B9	mov     rax, [rbp+var_130]	RAX=00007FFE44CFE120 
000017EA	.text:sum+2C0	lea     rdx, [rax+8]	RDX=00007FFE44CFE128 
000017EA	.text:sum+2C4	lea     rax, [rbp+var_168]	RAX=00007FFE44CFE0D8 
000017EA	.text:sum+2CB	mov     [rdx], rax	
000017EA	.text:sum+2CE	jmp     short loc_5605B7C2FA38	
000017EA	.text:sum:loc_5605B7C2FA38	mov     rax, [rbp+var_130]	RAX=00007FFE44CFE120 
000017EA	.text:sum+2ED	add     rax, 8	RAX=00007FFE44CFE128 ZF=0 
000017EA	.text:sum+2F1	mov     [rbp+var_130], rax	
000017EA	.text:sum+2F8	mov     rax, [rbp+var_128]	RAX=00005605B7E30011 
000017EA	.text:sum+2FF	add     rax, 4	RAX=00005605B7E30015 PF=0 
000017EA	.text:sum+303	mov     [rbp+var_128], rax	
000017EA	.text:sum+30A	jmp     short loc_5605B7C2FA8A	
000017EA	.text:sum:loc_5605B7C2FA8A	jmp     loc_5605B7C2F7A8	
000017EA	.text:sum:loc_5605B7C2F7A8	mov     rax, [rbp+var_128]	
000017EA	.text:sum+5D	movzx   eax, byte ptr [rax]	RAX=00000000000000FC 
000017EA	.text:sum+60	mov     [rbp+var_156], al	
000017EA	.text:sum+66	lea     rax, [rbp+var_156]	RAX=00007FFE44CFE0EA 
000017EA	.text:sum+6D	mov     [rbp+var_140], rax	
000017EA	.text:sum+74	lea     rax, [rbp+var_155]	RAX=00007FFE44CFE0EB 
000017EA	.text:sum+7B	mov     [rbp+var_138], rax	
000017EA	.text:sum+82	mov     [rbp+var_154], 0	
000017EA	.text:sum+8C	jmp     short loc_5605B7C2F841	
000017EA	.text:sum:loc_5605B7C2F841	cmp     [rbp+var_154], 0	PF=1 ZF=1 
000017EA	.text:sum+F6	jle     short loc_5605B7C2F7E0	
000017EA	.text:sum:loc_5605B7C2F7E0	mov     [rbp+var_150], 0	
000017EA	.text:sum+98	mov     [rbp+var_14C], 0	
000017EA	.text:sum+A2	jmp     short loc_5605B7C2F804	
